"Margin","Covariate","M3b","M3b_W","Shift","Rel_Change"
"Extensive","Intercept","0.5739","0.6812","+0.1073","+18.7%"
"Extensive","Poverty","0.1782","0.5616","+0.3834","+215.2%"
"Extensive","Urban","0.0785","0.3539","+0.2754","+351.1%"
"Extensive","Black","0.3058","0.6840","+0.3782","+123.7%"
"Extensive","Hispanic","0.1718","0.4144","+0.2427","+141.3%"
"Intensive","Intercept","0.1995","0.1448","-0.0547","-27.4%"
"Intensive","Poverty","0.0349","0.0606","+0.0257","+73.6%"
"Intensive","Urban","0.0224","0.0691","+0.0467","+208.8%"
"Intensive","Black","0.0387","0.1158","+0.0770","+199.0%"
"Intensive","Hispanic","0.0809","0.2080","+0.1271","+157.2%"
