"Parameter","Post Mean","Naive 95% CI","Wald 95% CI","Wald Width","DER"
"alpha (Intercept)","0.764","[-1.109, 2.628]","[0.677, 0.851]","0.174","2.04"
"alpha (Poverty)","-0.324","[-2.205, 1.497]","[-0.426, -0.221]","0.205","2.41"
"alpha (Urban)","0.442","[-1.387, 2.224]","[0.375, 0.509]","0.135","4.18"
"alpha (Black)","0.478","[-1.459, 2.405]","[0.392, 0.565]","0.173","1.54"
"alpha (Hispanic)","0.006","[-1.902, 1.903]","[-0.095, 0.106]","0.202","1.82"
"beta (Intercept)","-0.242","[-2.058, 1.587]","[-0.272, -0.213]","0.059","1.36"
"beta (Poverty)","0.090","[-1.713, 1.904]","[0.053, 0.127]","0.074","1.61"
"beta (Urban)","-0.047","[-1.858, 1.768]","[-0.087, -0.007]","0.081","3.18"
"beta (Black)","-0.017","[-1.851, 1.760]","[-0.052, 0.019]","0.071","1.38"
"beta (Hispanic)","-0.097","[-1.974, 1.716]","[-0.130, -0.064]","0.066","1.14"
"log(kappa)","1.919","[1.866, 1.972]","[1.861, 1.976]","0.115","2.58"
